file;sa;timeSA;ls;timeLS
04_npp_25.in;2504;0.033;2504;0
04_npp_25.in;1064;0.032;1064;0
04_npp_25.in;5268;0.032;5268;0
04_npp_25.in;3762;0.032;3762;0
04_npp_25.in;1824;0.032;1824;0
04_npp_25.in;600;0.032;600;0
04_npp_25.in;664;0.032;664;0
04_npp_25.in;5640;0.032;5640;0
04_npp_25.in;2580;0.032;2580;0
04_npp_25.in;1264;0.032;1264;0
04_npp_25.in;716;0.032;716;0
04_npp_25.in;98;0.032;98;0
04_npp_25.in;2044;0.032;2044;0
04_npp_25.in;4160;0.032;4160;0
04_npp_25.in;1546;0.031;1546;0
04_npp_25.in;3014;0.031;3014;0
04_npp_25.in;5334;0.031;5334;0
04_npp_25.in;3344;0.031;3344;0
04_npp_25.in;1100;0.031;1100;0
04_npp_25.in;9682;0.031;9682;0
04_npp_25.in;1482;0.031;1482;0
04_npp_25.in;1306;0.031;1306;0
04_npp_25.in;2166;0.031;2166;0
04_npp_25.in;624;0.031;624;0
04_npp_25.in;2104;0.031;2104;0
04_npp_25.in;678;0.031;678;0
04_npp_25.in;2564;0.031;2564;0
04_npp_25.in;2500;0.031;2500;0
04_npp_25.in;4152;0.031;4152;0
04_npp_25.in;5650;0.031;5650;0
34_npp_5000.in;4;2.074;4;0.102
34_npp_5000.in;2;2.047;2;0.104
34_npp_5000.in;4;1.966;4;0.102
34_npp_5000.in;28;1.993;28;0.101
34_npp_5000.in;0;1.981;0;0.204
34_npp_5000.in;0;2.001;0;0.103
34_npp_5000.in;8;2.014;8;0.104
34_npp_5000.in;6;1.961;6;0.205
34_npp_5000.in;4;2.051;4;0.105
34_npp_5000.in;0;2.129;0;0.105
34_npp_5000.in;6;2.113;6;0.105
34_npp_5000.in;4;2.071;4;0.105
34_npp_5000.in;4;2.027;4;0.102
34_npp_5000.in;2;2.062;2;0.104
34_npp_5000.in;26;1.996;26;0.105
34_npp_5000.in;8;1.987;8;0.101
34_npp_5000.in;2;2.001;2;0.103
34_npp_5000.in;8;2.01;8;0.106
34_npp_5000.in;62;2.036;62;0.101
34_npp_5000.in;4;1.974;4;0.103
34_npp_5000.in;4;1.974;4;0.199
34_npp_5000.in;10;1.987;10;0.101
34_npp_5000.in;10;1.987;10;0.103
34_npp_5000.in;2;2.009;2;0.104
34_npp_5000.in;2;2.04;2;0.222
34_npp_5000.in;20;1.939;20;0.1
34_npp_5000.in;16;1.924;16;0.194
34_npp_5000.in;6;1.984;6;0.102
34_npp_5000.in;0;1.992;0;0.103
34_npp_5000.in;2;2.002;2;0.102
12_npp_250.in;59;0.071;59;0
12_npp_250.in;33;0.07;33;0
12_npp_250.in;83;0.07;83;0
12_npp_250.in;55;0.07;55;0
12_npp_250.in;135;0.07;135;0
12_npp_250.in;211;0.069;211;0
12_npp_250.in;557;0.071;557;0
12_npp_250.in;133;0.07;133;0
12_npp_250.in;149;0.069;149;0
12_npp_250.in;133;0.07;133;0
12_npp_250.in;171;0.073;171;0
12_npp_250.in;9;0.069;9;0
12_npp_250.in;29;0.069;29;0
12_npp_250.in;3;0.071;3;0
12_npp_250.in;15;0.07;15;0
12_npp_250.in;71;0.07;71;0
12_npp_250.in;447;0.07;447;0
12_npp_250.in;113;0.07;113;0
12_npp_250.in;7;0.07;7;0
12_npp_250.in;33;0.071;33;0
12_npp_250.in;47;0.071;47;0
12_npp_250.in;13;0.069;13;0
12_npp_250.in;3;0.07;3;0
12_npp_250.in;21;0.07;21;0
12_npp_250.in;11;0.071;11;0
12_npp_250.in;47;0.069;47;0
12_npp_250.in;109;0.07;109;0
12_npp_250.in;123;0.071;123;0
12_npp_250.in;111;0.07;111;0
12_npp_250.in;143;0.07;143;0
31_npp_2000.in;25;0.325;25;0.007
31_npp_2000.in;11;0.329;11;0.007
31_npp_2000.in;19;0.327;19;0.007
31_npp_2000.in;23;0.336;23;0.007
31_npp_2000.in;3;0.331;3;0.007
31_npp_2000.in;15;0.332;15;0.007
31_npp_2000.in;5;0.331;5;0.007
31_npp_2000.in;9;0.337;9;0.007
31_npp_2000.in;25;0.33;25;0.007
31_npp_2000.in;7;0.331;7;0.007
31_npp_2000.in;3;0.33;3;0.007
31_npp_2000.in;7;0.324;7;0.007
31_npp_2000.in;3;0.327;3;0.007
31_npp_2000.in;15;0.327;15;0.007
31_npp_2000.in;7;0.342;7;0.007
31_npp_2000.in;23;0.33;23;0.006
31_npp_2000.in;13;0.328;13;0.007
31_npp_2000.in;1;0.327;1;0.007
31_npp_2000.in;1;0.331;1;0.007
31_npp_2000.in;17;0.335;17;0.007
31_npp_2000.in;13;0.332;13;0.007
31_npp_2000.in;3;0.327;3;0.007
31_npp_2000.in;3;0.326;3;0.013
31_npp_2000.in;9;0.328;9;0.007
31_npp_2000.in;11;0.329;11;0.007
31_npp_2000.in;11;0.33;11;0.007
31_npp_2000.in;3;0.327;3;0.007
31_npp_2000.in;25;0.336;25;0.007
31_npp_2000.in;19;0.33;19;0.007
31_npp_2000.in;19;0.324;19;0.007
01_npp_10.in;13932;0.023;13932;0
01_npp_10.in;5114;0.023;5114;0
01_npp_10.in;5114;0.023;5114;0
01_npp_10.in;36004;0.023;36004;0
01_npp_10.in;2280;0.023;2280;0
01_npp_10.in;852;0.025;852;0
01_npp_10.in;8956;0.024;8956;0
01_npp_10.in;56080;0.023;56080;0
01_npp_10.in;10722;0.023;10722;0
01_npp_10.in;4644;0.023;4644;0
01_npp_10.in;5114;0.023;5114;0
01_npp_10.in;4644;0.023;4644;0
01_npp_10.in;8218;0.023;8218;0
01_npp_10.in;10722;0.023;10722;0
01_npp_10.in;5406;0.023;5406;0
