file;sa;timeSa;ls;timeLs
04_npp_25.in;1152;0.033;1152;0
04_npp_25.in;2238;0.031;2238;0
04_npp_25.in;2906;0.03;2906;0
04_npp_25.in;1048;0.03;1048;0
04_npp_25.in;588;0.03;588;0
04_npp_25.in;1924;0.031;1924;0
04_npp_25.in;4384;0.03;4384;0
04_npp_25.in;2108;0.034;2108;0
04_npp_25.in;1376;0.03;1376;0
04_npp_25.in;9762;0.03;9762;0
04_npp_25.in;2230;0.03;2230;0
04_npp_25.in;344;0.03;344;0
04_npp_25.in;1530;0.03;1530;0
04_npp_25.in;2108;0.03;2108;0
04_npp_25.in;1848;0.03;1848;0
04_npp_25.in;376;0.032;376;0
04_npp_25.in;5028;0.03;5028;0
04_npp_25.in;1468;0.03;1468;0
04_npp_25.in;1096;0.03;1096;0
04_npp_25.in;1650;0.03;1650;0
04_npp_25.in;702;0.031;702;0
04_npp_25.in;518;0.03;518;0
04_npp_25.in;130;0.03;130;0
04_npp_25.in;3468;0.032;3468;0
04_npp_25.in;500;0.03;500;0
04_npp_25.in;298;0.03;298;0
04_npp_25.in;1280;0.03;1280;0
04_npp_25.in;1576;0.03;1576;0
04_npp_25.in;390;0.03;390;0
04_npp_25.in;6424;0.029;6424;0
34_npp_5000.in;14;2.269;14;0.123
34_npp_5000.in;0;2.433;0;0.231
34_npp_5000.in;0;2.409;0;0.228
34_npp_5000.in;14;2.305;14;0.12
34_npp_5000.in;4;2.518;4;0.113
34_npp_5000.in;4;2.315;4;0.11
34_npp_5000.in;6;2.241;6;0.111
34_npp_5000.in;18;2.426;18;0.131
34_npp_5000.in;0;2.367;0;0.118
34_npp_5000.in;16;2.402;16;0.123
34_npp_5000.in;10;2.355;10;0.117
34_npp_5000.in;24;2.297;24;0.348
34_npp_5000.in;6;2.313;6;0.116
34_npp_5000.in;28;2.277;28;0.112
34_npp_5000.in;26;2.329;26;0.122
34_npp_5000.in;14;2.304;14;0.123
34_npp_5000.in;4;2.427;4;0.161
34_npp_5000.in;2;2.417;2;0.11
34_npp_5000.in;8;2.333;8;0.234
34_npp_5000.in;0;2.414;0;0.128
34_npp_5000.in;2;2.469;2;0.299
34_npp_5000.in;4;2.351;4;0.112
34_npp_5000.in;4;2.332;4;0.226
34_npp_5000.in;28;2.358;28;0.116
34_npp_5000.in;14;2.441;14;0.138
34_npp_5000.in;26;2.29;26;0.11
